paintId,Name,Brand,hexColorCode,matchValue
171,BestigorFlesh," Citadel"," #D38A57"," 4.51"
172,TrollSlayerOrange," Citadel"," #eb641b"," 4.93"
173,ScreamingSkull," Citadel"," #d9d8a6"," 7.86"
174,StegadonScaleGreen," Citadel"," #004261"," 8.27"
175,TempleGuardBlue," Citadel"," #35998e"," 5.43"
176,AlaitocBlue," Citadel"," #2e5689"," 4.07"
177,XereusPurple," Citadel"," #4b205c"," 3.55"
178,GenestealerPurple," Citadel"," #7c5ca4"," 2.26"
179,ScreamerPink," Citadel"," #831740"," 7.68"
180,RhinoxHide," Citadel"," #4e3433"," 5.62"
181,FlayedOneFlesh," Citadel"," #f3ca8a"," 7.80"
182,MechanicusStandardGrey," Citadel"," #454e50"," 4.42"
183,WildRiderRed," Citadel"," #e21516"," 4.08"
184,BugmansGlow," Citadel"," #8c5144"," 4.21"
185,KarakStone," Citadel"," #c1a069"," 4.89"
186,CeramiteWhite," Citadel"," #ffffff"," 7.80"
187,BanebladeBrown," Citadel"," #99826b"," 4.93"
188,RhinoxHide," Citadel"," #4e3433"," 6.59"
189,DeathWorldForest," Citadel"," #666c2d"," 6.91"
190,RhinoxHide," Citadel"," #4e3433"," 5.99"
191,BanebladeBrown," Citadel"," #99826b"," 5.19"
192,StormverminFur," Citadel"," #7d736a"," 5.78"
193,TuskgorFur," Citadel"," #8e3734"," 8.40"
194,MootGreen," Citadel"," #57aa2d"," 4.84"
195,SquigOrange," Citadel"," #b04d3e"," 5.15"
196,SkavenblightDinge," Citadel"," #4f4840"," 6.85"
197,SkarsnikGreen," Citadel"," #5e9067"," 7.28"
198,LugganathOrange," Citadel"," #F79E86"," 0.72"
199,EshinGrey," Citadel"," #535659"," 3.74"
200,KriegKhaki," Citadel"," #C0BD81"," 7.24"
201,KabaliteGreen," Citadel"," #008660"," 3.66"
202,CalgarBlue," Citadel"," #456eb5"," 6.55"
203,AhrimanBlue," Citadel"," #1F8C9C"," 2.89"
204,HoethBlue," Citadel"," #4f7fb5"," 6.90"
205,BanebladeBrown," Citadel"," #99826b"," 5.26"
206,LothernBlue," Citadel"," #3ba1d1"," 2.34"
207,KislevFlesh," Citadel"," #dbad75"," 5.46"
208,BugmansGlow," Citadel"," #8c5144"," 4.94"
209,KislevFlesh," Citadel"," #dbad75"," 4.98"
210,WarpstoneGlow," Citadel"," #257326"," 4.20"
211,TrollSlayerOrange," Citadel"," #eb641b"," 3.57"
212,RatskinFlesh," Citadel"," #AD6B4C"," 8.19"
213,ElysianGreen," Citadel"," #81932e"," 3.46"
214,ScreamingSkull," Citadel"," #d9d8a6"," 11.84"
215,RhinoxHide," Citadel"," #4e3433"," 6.63"
216,BestigorFlesh," Citadel"," #D38A57"," 5.66"
217,AbaddonBlack," Citadel"," #010100"," 0.40"
218,DryadBark," Citadel"," #3b342e"," 9.11"
219,EshinGrey," Citadel"," #535659"," 2.32"
220,DarkReaper," Citadel"," #3B5150"," 5.25"
221,DarkReaper," Citadel"," #3B5150"," 4.58"
222,EshinGrey," Citadel"," #535659"," 9.38"
223,SlaaneshGrey," Citadel"," #8E8C97"," 8.05"
224,SkavenblightDinge," Citadel"," #4f4840"," 3.04"
225,SkavenblightDinge," Citadel"," #4f4840"," 5.12"
226,SteelLegionDrab," Citadel"," #695634"," 4.14"
227,BanebladeBrown," Citadel"," #99826b"," 4.25"
228,GorthorBrown," Citadel"," #6e4e46"," 4.74"
229,BanebladeBrown," Citadel"," #99826b"," 6.45"
230,TallarnSand," Citadel"," #ab7d00"," 6.29"
231,BanebladeBrown," Citadel"," #99826b"," 6.19"
232,BanebladeBrown," Citadel"," #99826b"," 5.93"
233,ZandriDust," Citadel"," #a89758"," 7.17"
234,ZandriDust," Citadel"," #a89758"," 4.04"
235,UlthuanGrey," Citadel"," #d2e4df"," 4.34"
236,AdministratumGrey," Citadel"," #9da299"," 6.76"
237,GaussBlasterGreen," Citadel"," #84C3AA"," 10.35"
238,DeathGuardArmor," Citadel"," #848A66"," 5.39"
239,DarkReaper," Citadel"," #3B5150"," 9.41"
240,DarkReaper," Citadel"," #3B5150"," 4.95"
241,DarkReaper," Citadel"," #3B5150"," 3.76"
242,Waaagh!Flesh," Citadel"," #275627"," 9.66"
243,SkarsnikGreen," Citadel"," #5e9067"," 5.87"
244,DryadBark," Citadel"," #3b342e"," 10.07"
245,Dawnstone," Citadel"," #7b7e74"," 10.77"
246,DarkReaper," Citadel"," #3B5150"," 5.69"
247,ThunderhawkBlue," Citadel"," #417074"," 7.62"
248,DarkReaper," Citadel"," #3B5150"," 3.69"
249,DarkReaper," Citadel"," #3B5150"," 4.10"
250,MechanicusStandardGrey," Citadel"," #454e50"," 8.04"
251,KantorBlue," Citadel"," #06234f"," 10.00"
252,TheFang," Citadel"," #457479"," 3.93"
253,RussGrey," Citadel"," #55768a"," 6.25"
254,HoethBlue," Citadel"," #4f7fb5"," 6.64"
255,TheFang," Citadel"," #457479"," 6.07"
256,TheFang," Citadel"," #457479"," 5.38"
257,CelestraGrey," Citadel"," #9caeae"," 3.58"
258,CelestraGrey," Citadel"," #9caeae"," 6.19"
259,UlthuanGrey," Citadel"," #d2e4df"," 8.92"
260,SquigOrange," Citadel"," #b04d3e"," 6.03"
261,WildRiderRed," Citadel"," #e21516"," 4.75"
262,JokaeroOrange," Citadel"," #e6200f"," 5.71"
263,FireDragonBright," Citadel"," #f1844a"," 5.34"
264,KarakStone," Citadel"," #c1a069"," 5.43"
265,KarakStone," Citadel"," #c1a069"," 5.57"
