2245,3882,1.26
2245,3931,8.61
3786,3578,7.24
3786,3669,1.13
3786,3890,2.42
3786,3950,1.6
2247,3518,3.66
2247,3629,3.76
2247,3834,14
2247,3933,6.16
3712,3504,6.55
3712,3609,8.56
3712,3815,7.72
3712,3920,7.93
2249,3509,2.89
2249,3615,10.38
2249,3822,4.03
2249,3924,4.38
2250,3501,6.9
2250,3611,3.03
2250,3818,10.19
2250,2926,3.73
2251,3558,5.26
2251,3647,1.37
2251,3860,10.36
2251,3963,7.66
3716,3507,2.34
3716,3611,9.38
3716,3886,13.03
3716,3923,2.7
2253,3542,5.46
2253,2591,4.91
2253,3891,6.66
2253,3898,7.87
2254,3540,4.94
2254,3661,3.32
2254,3861,15.09
2254,3048,5.93
2335,3542,4.98
2335,3638,4.6
2335,3890,7.05
2335,3950,7.77
3729,3521,4.2
3729,3627,1.78
3729,3836,4.78
3729,3938,4.74
3690,3482,3.57
3690,3586,0.84
3690,3860,7.62
3690,3020,5.42
3758,3543,8.19
3758,3654,1.4
3758,3862,3.07
3758,2996,6.18
3739,3531,3.46
3739,3675,9.41
3739,3843,7.39
3739,3945,4.14
2260,3535,11.84
2260,2680,7.35
2260,2767,8.36
2260,3012,9.24
2261,3553,6.63
2261,3657,8.15
2261,3868,15.63
2261,2937,8.49
2262,3544,5.66
2262,3642,4.85
2262,2769,8.36
2262,3959,3.58
3774,3566,0.4
3774,3670,0.27
3774,3878,1.69
3774,3981,12.15
2264,3556,9.11
2264,2721,6
2264,3880,14.27
2264,3985,7.29
3775,3567,2.32
3775,3671,5.32
3775,3882,3.09
3775,3931,6.72
2302,3570,5.25
2302,3671,10.1
2302,3882,8.64
2302,3039,8.3
2267,3570,4.58
2267,2720,5.1
2267,3829,11.47
2267,3985,8.26
2268,3567,9.38
2268,2659,8.63
2268,3869,10.84
2268,3039,7.81
3706,3498,8.05
3706,3602,4.07
3706,3886,3.61
3706,3979,8.19
3964,3568,3.04
3964,3672,7.15
3964,3880,9.73
3964,3983,2.49
2271,3568,5.12
2271,3672,8.47
2271,3869,12
2271,3982,3.7
2272,3537,4.14
2272,3641,0.7
2272,3869,7.03
2272,3955,4.98
3766,3558,4.25
3766,3647,3.78
3766,3863,10.31
3766,3973,10.08
2274,3557,4.74
2274,2667,5.6
2274,3869,12.77
2274,3955,2.79
2275,3558,6.45
2275,3647,2.17
2275,3860,7.69
2275,3963,6.6
3746,3538,6.29
3746,3642,0
3746,3845,7.51
3746,3953,4.6
2277,3558,6.19
2277,3041,3.87
2277,3850,4.26
2277,3973,6.5
2278,3558,5.93
2278,3673,4.69
2278,3850,6.33
2278,3973,5.5
2342,3533,7.17
2342,3675,5.66
2342,3850,4.42
2342,3944,5.09
3740,3533,4.04
3740,3637,0.75
3740,3851,7.63
3740,3986,5.72
3773,3563,4.34
3773,3681,9.97
3773,2823,9.23
3773,2957,6.84
3772,3561,6.76
3772,3675,7.24
3772,3870,4.08
3772,3986,9.96
2283,3577,10.35
2283,3682,10.09
2283,3876,9.13
2283,3993,8.51
3779,3571,5.39
3779,3673,4.81
3779,3881,4.25
3779,3973,3.36
2285,3570,9.41
2285,2659,7.79
2285,3869,8.35
2285,3039,5.91
2286,3570,4.95
2286,3674,4.24
2286,3829,10.28
2286,3039,11.89
3778,3570,3.76
3778,2720,9.34
3778,3882,9.58
3778,3985,6.93
3734,3523,9.66
3734,3630,5.13
3734,3869,8.45
3734,3039,8.23
3733,3525,5.87
3733,3940,12.49
3733,3834,7.78
3733,3940,4.69
3728,3556,10.07
3728,3728,6.81
3728,3880,6.44
3728,3985,7.21
2291,3560,10.77
2291,2659,2.9
2291,3869,5.81
2291,3039,5.47
2292,3570,5.69
2292,3674,4.84
2292,3882,12.25
2292,3983,10.65
2293,3516,7.62
2293,3674,7.95
2293,3829,10.95
2293,3929,7.54
2294,3570,3.69
2294,3674,5.05
2294,3829,9.37
2294,3985,10.62
2295,3570,4.1
2295,3674,5.07
2295,3829,7.01
2295,3985,12.25
2296,3559,8.04
2296,3621,7.15
2296,3882,11.63
2296,3928,7.52
3707,3499,10
3707,3702,9.72
3707,3825,12.77
3707,3914,4.25
3718,3510,3.93
3718,3671,8.22
3718,3822,11.03
3718,3926,6.12
3720,3511,6.25
3720,3615,1.77
3720,3886,10.3
3720,3926,3.43
3714,3501,6.64
3714,3615,12.15
3714,3818,10.74
3714,3611,9.78
2301,3510,6.07
2301,3615,8.69
2301,3886,13.05
2301,3926,6.45
2302,3510,5.38
2302,3671,7.37
2302,3882,11.79
2302,3931,6.2
3782,3562,3.58
3782,3676,1.22
3782,3886,7.2
3782,3979,2.02
3780,3562,6.19
3780,3676,7.96
3780,3889,10.78
3780,3979,9.56
3781,3563,8.92
3781,3681,4.1
3781,3885,2.89
3781,3991,5.3
3693,3489,6.03
3693,2683,1.86
3693,3867,4.18
3693,3904,2.25
2307,3486,4.75
2307,3589,4.51
2307,3798,6.39
2307,3901,1.62
2308,3481,5.71
2308,2682,3.46
2308,3798,5.33
2308,3020,2.51
3691,3483,5.34
3691,2647,2.12
3691,3795,3.11
3691,3898,8.23
2310,3539,5.43
2310,3642,7.52
2310,3851,2.98
2310,3959,7.27
2311,3539,5.57
2311,3656,4.93
2311,3845,4.92
2311,3041,4.35
2312,3558,4.67
2312,3647,6.48
2312,3851,5.27
2312,3960,10.68
3687,3479,2.96
3687,3679,4.6
3687,3887,3.24
3687,3990,2.18
3742,3534,5.2
3742,3638,1.16
3742,3890,7.18
3742,3950,6.89
3744,3536,6.08
3744,3638,4.31
3744,3890,5.53
3744,3950,3.81
2316,3476,9.69
2316,2663,1.67
2316,2823,1.38
2316,3057,2.77
2317,3570,9.16
2317,3674,4.79
2317,3829,10.32
2317,3929,7.49
3757,3537,2.44
3757,3641,3.42
3757,3869,9.3
3757,3966,6.51
3736,3528,4.51
3736,3630,7.89
3736,3843,6.11
3736,3939,4.42
2320,3533,6.67
2320,3041,5.34
2320,3850,3.51
2320,2996,5.82
2321,3560,10.05
2321,2659,0.71
2321,3869,5.02
2321,3039,6.53
3710,3502,5.88
3710,3607,6.64
3710,3825,3.78
3710,3914,6.33
2323,3555,3.26
2323,3659,1.17
2323,3867,9.94
2323,3970,3.84
3760,3542,4
3760,3648,5.67
3760,3891,9.16
3760,3898,6.75
2325,3476,10.91
2325,2663,4.93
2325,2832,5.14
2325,3001,3.97
3749,3541,2.95
3749,3647,5.69
3749,3860,4.01
3749,3963,5.1
2327,3500,5.56
2327,3617,6.35
2327,3882,10.16
2327,3915,4.25
3748,3540,3.47
3748,3661,7.82
3748,3861,11.69
3748,3955,6.85
