3011,3786,8.41
3011,3876,4.49
1768,3550,7.11
1768,1980,4.66
1768,3746,4.77
1768,2769,4.55
3057,3476,8.14
3057,2663,3.88
3057,2663,1.61
3057,2823,2.56
1770,3476,8.14
1770,2663,3.88
1770,2663,1.61
1770,2823,2.56
3994,3579,9.79
3994,3680,7.21
3994,3787,9.91
3994,3891,10.24
3986,3571,3.6
3986,3675,3.84
3986,3673,4.29
3986,3883,3.49
3944,3527,8.04
3944,3633,4.86
3944,2342,5.05
3944,3839,4.06
3951,3565,9.05
3951,3649,8.82
3951,3786,8.32
3951,2832,8.71
2937,3554,8.93
2937,2577,5.54
2937,3762,6.42
2937,3866,9.77
3039,3569,10.12
3039,2659,6.68
3039,2242,3.64
3039,3869,4.47
3984,3569,3.54
3984,3673,7.87
3984,3777,7.34
3984,3881,5.46
3928,3513,6.43
3928,3617,4.33
3928,2353,4.27
3928,3882,8.41
3968,3553,8.1
3968,3672,7.37
3968,3761,2
3968,3866,13.44
3980,3565,4.17
3980,3669,6.35
3980,2374,4.91
3980,3877,6.9
3912,3497,3.32
3912,3671,6.05
3912,2380,5.68
3912,3882,9.25
3933,3515,4.79
3933,3629,2.99
3933,2247,6.29
3933,3827,14.71
3941,3526,5.11
3941,3630,9.87
3941,2242,9.56
3941,3869,11.06
1784,3526,5.11
1784,3630,9.87
1784,2242,9.56
1784,3869,11.06
3907,3497,12.64
3907,3661,14.01
3907,2347,9.96
3907,2853,18.14
3973,3560,5.28
3973,3673,4.93
3973,3779,3.61
3973,3881,2.2
3982,3567,6.66
3982,2667,12.16
3982,2271,4.01
3982,3882,11.05
3965,3482,5.25
3965,1980,4.8
3965,3749,6.39
3965,3860,7.7
1789,3512,5.56
1789,3615,4.38
1789,3720,4.42
1789,3886,9.23
3988,3573,10.18
3988,2687,7.33
3988,3781,7.74
3988,3885,6.13
3915,3500,2.48
3915,3609,6.87
3915,2327,4.22
3915,3815,10.54
3983,3568,1.04
3983,3672,9.16
3983,3964,2.7
3983,3880,12.01
2996,3558,9.5
2996,3041,2.75
2996,2277,5.43
2996,3850,3.32
3927,3512,3.97
3927,3926,7.42
3927,3716,6.82
3927,3886,10.99
3947,3532,6.93
3947,3637,11.57
3947,3730,7.73
3947,3844,6.28
3960,3539,7.42
3960,3648,11.09
3960,3747,5.67
3960,3851,7.96
3992,3577,6.97
3992,3626,13.37
3992,2362,8.92
3992,3834,14.92
3904,3489,4
3904,3589,2.93
3904,3693,2.28
3904,3867,5.53
3987,3572,3.98
3987,3676,12.7
3987,3780,7.53
3987,3827,6.05
3012,3536,8.7
3012,3638,8
3012,2219,6.71
3012,3791,6.15
3939,3521,5.29
3939,3940,6.03
3939,3736,4.29
3939,3843,10.2
2957,3565,6.94
2957,2663,10.35
2957,2663,6.27
2957,2832,5.21
1803,3498,11.16
1803,3647,13.12
1803,3766,12.53
1803,3886,14.08
3896,3481,3.56
3896,3590,2.82
3896,2308,2.58
3896,3798,2.62
3985,3556,4.87
3985,3660,9.04
3985,3964,6.06
3985,3880,9.48
3048,3557,8.14
3048,3661,7.36
3048,2254,6.23
3048,3882,17.58
3989,3574,6.03
3989,3926,11.35
3989,2378,14.43
3989,3886,11.96
3967,3552,5.88
3967,3582,4.42
3967,2253,8.19
3967,3857,3.83
3022,3548,13.79
3022,3652,10.21
3022,2332,2.4
3022,2853,13.75
3018,3535,10.87
3018,2680,7.17
3018,2342,3.96
3018,3887,8.78
3036,3515,5.5
3036,2559,9.8
3036,3723,1.81
3036,3827,8.4
3945,3530,3.72
3945,3637,7.24
3945,3739,4.44
3945,3883,5.87
2891,3489,10.21
2891,3644,9.67
2891,3697,9.14
2891,2853,4.79
3923,3507,1.77
3923,3611,8.28
3923,3716,2.73
3923,3886,12.82
2916,3532,7.08
2916,2007,10.02
2916,3730,7.1
2916,3844,4.1
3991,3563,9.37
3991,3681,9.64
3991,3781,6.32
3991,3885,6.65
3053,3562,8.26
3053,3676,8.63
3053,3784,1.87
3053,3876,7.76
3953,3538,6.48
3953,3642,3.87
3953,3746,3.87
3953,2769,6.12
1819,3498,13.02
1819,2684,15.83
1819,2346,10.99
1819,3886,17.14
2926,3501,8.2
2926,3611,1.19
2926,2250,3.87
2926,3818,11.53
3959,3544,3.45
3959,3648,4.62
3959,2262,3.58
3959,2769,6.67
3970,3555,5.73
3970,3659,3.75
3970,2323,3.46
3970,3867,9.2
3952,3537,7.13
3952,3641,6.3
3952,2272,6.65
3952,3869,4.13
3920,3505,4.48
3920,3609,7.1
3920,2327,4.75
3920,3818,9
3906,3557,9.57
3906,3661,8.45
3906,2347,8.12
3906,3882,16.42
3955,3557,7.11
3955,2667,5.2
3955,2274,2.84
3955,3869,10.51
3948,3531,4.32
3948,3637,5.64
3948,3740,5.97
3948,3883,9.35
3929,3516,7.66
3929,2559,6.39
3929,2293,6.11
3929,3829,11.18
2892,3541,7.12
2892,3652,3.71
2892,2216,1.4
2892,3860,5.35
3975,3560,3.22
3975,3602,9.34
3975,3768,0.75
3975,3881,8.48
